StructureType,attributeName,Caption,Type,Default,Min,Max,StructureFileOnly,Description
bridge,allowedFlowDir,Allowed flow direction,String,,,,,Possible values: both, positive, negative, none.
bridge,csDefId,Id of cross section definition,String,,,,,Id of Cross-Section Definition.
bridge,bedLevel,Bed level,Double,,,,,Lowest point of bridge profile (crest) (m AD).
bridge,inletLossCoeff,Inlet loss coefficient,Double,,,,,Inlet loss coefficient (-).
bridge,outletLossCoeff,Outlet loss coefficient,Double,,,,,Outlet loss coefficient (-).
bridge,frictionType,Friction type,String,,,,,Friction type
bridge,friction,Friction value,Double,,,,,Friction value
bridge,length,Length,Double,,,,,Length (L) [m].
orifice,type,Type,String,orifice,,,,"Structure type, must read orifice."
orifice,crestLevel,Crest level,Double,,,,,Crest level (m AD).
orifice,crestWidth,Crest width,Double,,,,,(optional) Crest width (m).
orifice,gateLowerEdgeLevel,Lower edge level,Steerable,,,,,Position of gate door's lower edge (m AD).
orifice,corrCoef,Correction coefficient,Double,1,,,,Correction coefficient (-).
orifice,useVelocityHeight,Velocity height flag,0|1,1,,,,Flag indicates whether the velocity height is to be calculated or not.
compound,type,Type,String,compound,,,,"Structure type, must read compound."
compound,numStructures,Number of structures,integer,,,,,Number of individual structures in compound structure.
compound,structureIds,Structure ids,String,,,,,Semicolon separated list of structure ids.
