Bestandsnaam,ElementName,Kolomnaam,Code,,Definitie,Type,Eenheid,Verplicht,Standaardwaarde,Opmerking
Kunstwerk.csv,Structure.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
BOP.csv,Storagenode.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
BOP.csv,Storagenode.csv,HydxBOPNiveau,BOP_NIV,STORAGE_LEVEL,Niveau bergend oppervlak t.o.v. NAP. Als de waarde van BOP_OPP varieert per niveau dan meerdere BOP-regels opnemen met gelijke waarde van UNI_IDE. De waarde van BOP_NIV mag daarbij dus niet gelijk zijn,double,m,ja,,[Len=8.2]
BOP.csv,Storagenode.csv,HydxBergendOppervlak,BOP_OPP,STORAGE_AREA,Bergend oppervlak. Als de waarde van BOP_OPP varieert per niveau dan meerdere BOP-regels opnemen met gelijke waarde van UNI_IDE. De waarde van BOP_NIV mag daarbij dus niet gelijk zijn,double,m2,ja,,[Len=8.2]
BOP.csv,Storagenode.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
ItObject.csv,Infiltrationpipe.csv,HydxIdentificatieDefinitieIT_object,ITO_IDE,INFILTRATION_ID,Definitie infiltratiekarakteristieken. Koppeling tussen ItObject.csv en Verbinding.csv of Knooppunt.csv,string,string,ja,,"[Len=10] [Verplicht als Verbinding/VRB_TYP=ITR, Knooppunt/KNP_TYP=ITP]"
ItObject.csv,Infiltrationpipe.csv,HydxK_waardeRiolering_Cunet,KWA_CUN,K_SEWER,K-waarde riolering - cunet,double,m/dag,ja,,[Len=8.2]
ItObject.csv,Infiltrationpipe.csv,HydxPorositeitCunet,POR_CUN,POROSITY_CUNET,Porositeit cunet,double,decimal,ja,,[Len=8.2]
ItObject.csv,Infiltrationpipe.csv,HydxK_waardeCunet_Grondwater,KWA_GRW,K_GROUNDWATER,K-waarde cunet - grondwater,double,m/dag,ja,,[Len=8.2]
ItObject.csv,Infiltrationpipe.csv,HydxGrondwaterstand,STD_GRW,GROUNDWATER_LEVEL,Grondwaterstand t.o.v. NAP,double,m,ja,,[Len=8.2]
ItObject.csv,Infiltrationpipe.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Profiel.csv,Crosssection.csv,HydxIdentificatieProfieldefinitie,PRO_IDE,CROSSSECTION_ID,Profieldefinitie. Koppeling tussen Profiel.csv en Verbinding.csv,string,string,ja,,"[Len=10] [Verplicht als Verbinding/VRB_TYP=GSL,OPL,ITR]"
Profiel.csv,Crosssection.csv,HydxMateriaalProfiel,PRO_MAT,CROSS_SECTION_MATERIAL,Materiaal profiel,string,MateriaalProfielColl,nee,,[Len=3] [Verplicht als Verbinding/VRB_TYP=GSL]
Profiel.csv,Crosssection.csv,HydxVormProfiel,PRO_VRM,CROSS_SECTION_SHAPE,Vorm profiel,string,VormProfielColl,nee,RND,[Len=3] [Verplicht als Verbinding/VRB_TYP=GSL]
Profiel.csv,Crosssection.csv,HydxBreedte_diameterProfiel,PRO_BRE,CROSS_SECTION_WIDTH,Breedte/diameter profiel,double,mm,nee,,[Len=8.2] [Verplicht als Verbinding/VRB_TYP=GSL]
Profiel.csv,Crosssection.csv,HydxHoogteProfiel,PRO_HGT,CROSS_SECTION_HEIGHT,Hoogte profiel,double,mm,nee,,"[Len=8.2] [Verplicht als Verbinding/VRB_TYP=GSL, Profiel/PRO_VRM=EIV, RHK]"
Profiel.csv,Crosssection.csv,HydxCo_tangensHelling1,OPL_HL1,SLOPE_1,Co-tangens helling 1,double,decimal,nee,,[Len=4.2] [Verplicht als Verbinding/VRB_TYP=OPL]
Profiel.csv,Crosssection.csv,HydxCo_tangensHelling2,OPL_HL2,SLOPE_2,Co-tangens helling 2,double,decimal,nee,,[Len=4.2] [Verplicht als Verbinding/VRB_TYP=OPL]
Profiel.csv,Crosssection.csv,HydxNiveauBovenBob,PRO_NIV,CROSS_SECTION_LEVEL,"Niveau boven b.o.b. Als er meerdere profielwaardes per niveau gelden, dan meerdere Profiel-regels opnemen met gelijke waarde van PRO_IDE. De waarde van PRO_NIV mag daarbij dus niet gelijk zijn",string,m,nee,,[Len=8.2] [Verplicht als Verbinding/VRB_TYP=OPL]
Profiel.csv,Crosssection.csv,HydxNatOppervlakNiveau,PRO_NOP,WET_AREA,Nat oppervlak bij niveau,double,m2,nee,,[Len=8.2] [Verplicht als Verbinding/VRB_TYP=OPL]
Profiel.csv,Crosssection.csv,HydxNatteOmtrekNiveau,PRO_NOM,WET_PERIMETER,Natte omtrek bij niveau,double,m,nee,,[Len=8.2] [Verplicht als Verbinding/VRB_TYP=OPL]
Profiel.csv,Crosssection.csv,HydxAannameProfielbreedte,AAN_PBR,A_CROSS_SECTION_WIDTH,Aanname profielbreedte,string,AannameHydXColl,nee,,[Len=3]
Profiel.csv,Crosssection.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Nwrw.csv,Runoff.csv,HydxIdentificatieRegelAfvoerendOppervlak,AFV_IDE,SURFACE_ID,Gedetailleerde neerslag-afvoer per type afvoerend oppervlak. Koppeling tussen Oppervlak.csv en het genoemde bestand bij Oppervlak/AFV_DEF,string,TypeAfvoerendOppervlakColl,ja,,[Len=10]
Nwrw.csv,Runoff.csv,HydxOppervlakteberging,AFV_BRG,SURFACE_STORAGE,Oppervlakteberging,double,mm,ja,,[Len=4.2]
Nwrw.csv,Runoff.csv,HydxMaximumInfiltratiecapaciteit,AFV_IFX ,INFILTRATION_CAPACITY_MAX,Maximum infiltratiecapaciteit,double,mm/h,ja,,[Len=3]
Nwrw.csv,Runoff.csv,HydxMinimumInfiltratiecapaciteit,AFV_IFN ,INFILTRATION_CAPACITY_MIN,Minimum infiltratiecapaciteit,double,mm/h,ja,,[Len=3]
Nwrw.csv,Runoff.csv,HydxFactorAfnameInfiltratiecapaciteit,AFV_IFA ,INFILTRATION_CAPACITY_REDUCTION,Factor afname infiltratiecapaciteit,double,1/h,ja,,[Len=4.2]
Nwrw.csv,Runoff.csv,HydxFactorHerstelInfiltratiecapaciteit,AFV_IFH ,INFILTRATION_CAPACITY_RECOVERY,Factor herstel infiltratiecapaciteit,double,1/h,ja,,[Len=4.2]
Nwrw.csv,Runoff.csv,HydxFactorAfstromingsvertraging,AFV_AFS ,RUNOFF_DELAY,Factor afstromingsvertraging,double,1/min,nee,,[Len=4.2]
Nwrw.csv,Runoff.csv,HydxAfstromingslengte,AFV_LEN ,RUNOFF_LENGTH,Afstromingslengte,double,m,nee,,[Len=8.2]
Nwrw.csv,Runoff.csv,HydxHellingAfvoerendOppervlak,AFV_HEL ,RUNOFF_SLOPE,Co-tangens helling afvoerend oppervlak,double,decimal,nee,,[Len=8.2]
Nwrw.csv,Runoff.csv,HydxTerreinruwheid,AFV_RUW,TERRAIN_ROUGHNESS,Terreinruwheid,double,mm,nee,,[Len=4.2]
Nwrw.csv,Runoff.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
GroeneDaken.csv,Greenroof.csv,HydxIdentificatieRegelAfvoerendOppervlak,AFV_IDE,GREEN_ROOF_ID,Gedetailleerde neerslag-afvoer per type afvoerend oppervlak. Koppeling tussen Oppervlak.csv en het genoemde bestand bij Oppervlak/AFV_DEF,string,TypeAfvoerendOppervlakColl,ja,,[Len=10]
GroeneDaken.csv,Greenroof.csv,HydxDikteBodemlaag,BOD_HGT,SOIL_HEIGHT,Dikte van de bodemlaag,double,mm,ja,,[Len=8.2]
GroeneDaken.csv,Greenroof.csv,HydxGewasverdampingsfactor,EVP_CRF,CROP_EVAPORATION_FACTOR,Gewasverdampingsfactor,double,decimal,ja,,[Len=8.2]
GroeneDaken.csv,Greenroof.csv,HydxInitieleTheta,INI_THT,MOISTURE_INITIAL,Initiële Theta,double,%,ja,,[Len=4.2]
GroeneDaken.csv,Greenroof.csv,HydxThetaVerwelkingspunt,WTP_THT,MOISTURE_WILTING_POINT,Theta op verwelkingspunt,double,%,ja,,[Len=4.2]
GroeneDaken.csv,Greenroof.csv,HydxThetaVeldcapaciteit,FCP_THT,MOISTURE_FIELD_CAPACITY,Theta op veldcapaciteit,double,%,ja,,[Len=4.2]
